Airline_Code,Departure_Airport,Total_Flights,Min_Arrival_Delay,Max_Arrival_Delay,Avg_Arrival_Delay,Cancellation_Rate_Pct,Operating_Months
9E,ABE,533,-44.0,575.0,1.17,1.31,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ABY,20,-32.0,141.0,-3.75,0.0,"1,2,3,11,12"
9E,AEX,437,-34.0,872.0,10.32,1.37,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,AGS,840,-36.0,534.0,5.75,2.5,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ALB,548,-44.0,374.0,-2.78,2.01,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ATL,13462,-41.0,1198.0,2.32,1.23,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ATW,78,-34.0,226.0,6.51,0.0,"1,4,5,6,7,8,9,10"
9E,AUS,192,-35.0,258.0,6.42,0.52,"1,2,3,4,5,6,7"
9E,AVL,338,-36.0,463.0,0.25,2.07,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,AZO,11,-22.0,71.0,-0.27,0.0,1
